FromC,ToC,From,To,Time,Distance,Cost,Mode,fromProvince,toProvince
1,43,Kepulauan Seribu,Sukoharjo,0.0,0.0,0.0,2,DKI Jakarta,Jawa Tengah
1,44,Kepulauan Seribu,Wonogiri,14.29485250398927,609.2036716539893,30.995379323538923,0,DKI Jakarta,Jawa Tengah
1,44,Kepulauan Seribu,Wonogiri,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Tengah
1,44,Kepulauan Seribu,Wonogiri,0.0,0.0,0.0,2,DKI Jakarta,Jawa Tengah
1,45,Kepulauan Seribu,Karanganyar,13.909498285766432,587.5523445891545,18.36986852082197,0,DKI Jakarta,Jawa Tengah
1,45,Kepulauan Seribu,Karanganyar,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Tengah
1,45,Kepulauan Seribu,Karanganyar,0.0,0.0,0.0,2,DKI Jakarta,Jawa Tengah
1,46,Kepulauan Seribu,Sragen,13.898165593638506,590.3205422205644,14.67147916092269,0,DKI Jakarta,Jawa Tengah
1,46,Kepulauan Seribu,Sragen,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Tengah
1,46,Kepulauan Seribu,Sragen,0.0,0.0,0.0,2,DKI Jakarta,Jawa Tengah
1,47,Kepulauan Seribu,Grobogan,12.553579304870393,521.5707328768761,19.147854842949734,0,DKI Jakarta,Jawa Tengah
1,47,Kepulauan Seribu,Grobogan,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Tengah
1,47,Kepulauan Seribu,Grobogan,0.0,0.0,0.0,2,DKI Jakarta,Jawa Tengah
1,48,Kepulauan Seribu,Blora,13.754549459963751,586.6575629195435,36.54693938679632,0,DKI Jakarta,Jawa Tengah
1,48,Kepulauan Seribu,Blora,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Tengah
1,48,Kepulauan Seribu,Blora,0.0,0.0,0.0,2,DKI Jakarta,Jawa Tengah
1,49,Kepulauan Seribu,Rembang,15.601475555207537,656.0702696480784,50.405738751408755,0,DKI Jakarta,Jawa Tengah
1,49,Kepulauan Seribu,Rembang,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Tengah
1,49,Kepulauan Seribu,Rembang,0.0,0.0,0.0,2,DKI Jakarta,Jawa Tengah
1,50,Kepulauan Seribu,Pati,14.830041458760583,620.035653964289,34.36872131550846,0,DKI Jakarta,Jawa Tengah
1,50,Kepulauan Seribu,Pati,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Tengah
1,50,Kepulauan Seribu,Pati,0.0,0.0,0.0,2,DKI Jakarta,Jawa Tengah
1,51,Kepulauan Seribu,Kudus,13.653928103643604,570.3027783917762,31.916287248734587,0,DKI Jakarta,Jawa Tengah
1,51,Kepulauan Seribu,Kudus,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Tengah
1,51,Kepulauan Seribu,Kudus,0.0,0.0,0.0,2,DKI Jakarta,Jawa Tengah
1,52,Kepulauan Seribu,Jepara,14.020298207874292,546.7978267014295,23.33660314752439,0,DKI Jakarta,Jawa Tengah
1,52,Kepulauan Seribu,Jepara,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Tengah
1,52,Kepulauan Seribu,Jepara,0.0,0.0,0.0,2,DKI Jakarta,Jawa Tengah
1,53,Kepulauan Seribu,Demak,11.236173305536894,493.6867510400133,35.06943659005006,0,DKI Jakarta,Jawa Tengah
1,53,Kepulauan Seribu,Demak,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Tengah
1,53,Kepulauan Seribu,Demak,0.0,0.0,0.0,2,DKI Jakarta,Jawa Tengah
1,54,Kepulauan Seribu,Semarang,11.908650881844258,515.1476945446515,59.89389596986418,0,DKI Jakarta,Jawa Tengah
1,54,Kepulauan Seribu,Semarang,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Tengah
1,54,Kepulauan Seribu,Semarang,0.0,0.0,0.0,2,DKI Jakarta,Jawa Tengah
1,55,Kepulauan Seribu,Temanggung,13.0495639156585,556.238611780984,61.737544904505306,0,DKI Jakarta,Jawa Tengah
1,55,Kepulauan Seribu,Temanggung,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Tengah
1,55,Kepulauan Seribu,Temanggung,0.0,0.0,0.0,2,DKI Jakarta,Jawa Tengah
1,56,Kepulauan Seribu,Kendal,10.265078926315518,429.31832161616404,16.809163371139963,0,DKI Jakarta,Jawa Tengah
1,56,Kepulauan Seribu,Kendal,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Tengah
1,56,Kepulauan Seribu,Kendal,0.0,0.0,0.0,2,DKI Jakarta,Jawa Tengah
1,57,Kepulauan Seribu,Batang,9.997712993483585,402.0574671860681,16.959403736880574,0,DKI Jakarta,Jawa Tengah
1,57,Kepulauan Seribu,Batang,0.0,0.0,1000000.0,1,DKI Jakarta,Jawa Tengah
1,57,Kepulauan Seribu,Batang,0.0,0.0,0.0,2,DKI Jakarta,Jawa Tengah
